experiment,case,instance_class,N,target_kappa,actual_kappa,eps_target,seed,certify_terminal,certificate_tol,effective_terminal_eps,total_iters,fwd_phases,rev_phases,runtime_sec,matched_pairs,object_terminal_certificate_passed_warm,terminal_certificate_passed_warm,terminal_fallback_used,cs_violation,feasible,outside_i_exact_error,outside_j_exact_error,outside_i_upper_ok,outside_j_upper_ok,matched_pair_error,object_terminal_certificate_passed_final,terminal_certificate_passed_final,full_equilibrium_diagnostic_passed
baseline,TU,TU,50,1,1.0,0.1,29,True,0.0,0.1,169,6,4,0.013474291190505028,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.1,30,True,0.0,0.1,130,6,4,0.009661083109676838,50,True,True,False,0.09999990463256836,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,1,True,0.0,0.01,912,9,6,0.08260220801457763,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,2,True,0.0,0.01,818,9,6,0.07768575008958578,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,3,True,0.0,0.01,930,9,6,0.0836557918228209,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,4,True,0.0,0.01,210,8,6,0.01467345911078155,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,5,True,0.0,0.01,774,9,6,0.06994391698390245,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,6,True,0.0,0.01,316,8,6,0.021869499934837222,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,7,True,0.0,0.01,161,8,6,0.01097312499769032,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,8,True,0.0,0.01,173,8,6,0.011967333033680916,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,9,True,0.0,0.01,763,9,6,0.07071391702629626,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,10,True,0.0,0.01,217,8,6,0.01457808306440711,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,11,True,0.0,0.01,727,9,6,0.07261766702868044,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,12,True,0.0,0.01,810,9,6,0.07592195807956159,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,13,True,0.0,0.01,688,9,6,0.06905816704966128,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,14,True,0.0,0.01,1010,9,6,0.09148274990729988,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,15,True,0.0,0.01,246,8,6,0.017621207982301712,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,16,True,0.0,0.01,818,9,6,0.07377399993129075,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,17,True,0.0,0.01,868,9,6,0.08115183282643557,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,18,True,0.0,0.01,632,9,6,0.05877554207108915,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,19,True,0.0,0.01,762,9,6,0.07478845794685185,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,20,True,0.0,0.01,787,9,6,0.0726222088560462,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,21,True,0.0,0.01,722,9,6,0.06840541609562933,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,22,True,0.0,0.01,837,9,6,0.07924150000326335,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,23,True,0.0,0.01,973,9,6,0.09091458306647837,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,24,True,0.0,0.01,687,9,6,0.07040995801799,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,25,True,0.0,0.01,910,9,6,0.08337308280169964,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,26,True,0.0,0.01,172,8,6,0.012916667154058814,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,27,True,0.0,0.01,757,9,6,0.0714123749639839,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,28,True,0.0,0.01,962,9,6,0.09131050016731024,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,29,True,0.0,0.01,256,8,6,0.017844042042270303,50,True,True,False,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.01,30,True,0.0,0.01,853,9,6,0.0814340419601649,50,False,False,True,0.010000228881835938,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,1,True,0.0,0.001,239,9,8,0.016918584005907178,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,2,True,0.0,0.001,269,9,8,0.01715237507596612,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,3,True,0.0,0.001,262,9,8,0.018761791987344623,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,4,True,0.0,0.001,220,9,8,0.01470287493430078,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,5,True,0.0,0.001,195,9,8,0.01442812499590218,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,6,True,0.0,0.001,333,9,8,0.022285667015239596,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,7,True,0.0,0.001,191,9,8,0.013745540985837579,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,8,True,0.0,0.001,184,9,8,0.01357533410191536,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,9,True,0.0,0.001,314,9,8,0.020589542109519243,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,10,True,0.0,0.001,230,9,8,0.01614062488079071,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,11,True,0.0,0.001,231,9,8,0.01570758316665888,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
baseline,TU,TU,50,1,1.0,0.001,12,True,0.0,0.001,197,9,8,0.013651999877765775,50,True,True,False,0.0009999275207519531,True,0.0,0.0,True,True,0.0,True,True,True
